"After Six Years, G.M. Restores Its Common Stock Dividend",By REUTERS,348 words,15 January 2014
0,0,0,0,0,0
2,3,0,2,0,0
A Coupe for Cadillac's BMW-Battling Line,By PAUL STENQUIST,516 words,15 January 2014
0,0,0,0,0,0
0,2,1,1,0,0
"Feeling Steadier, Ford Remakes F-150 Pickup, the Nation's No. 1 Vehicle",By BILL VLASIC,"1,007 words",14 January 2014
0,0,0,0,0,0
16,13,4,2,1,0
Chevrolet Doubles Up for Car and Truck of the Year,By JERRY GARRETT,209 words,14 January 2014
0,0,0,0,0,0
1,1,0,0,0,0
G.M. Announces Recall of Silverado and Sierra Trucks,By REUTERS,110 words,11 January 2014
0,1,0,0,0,0
0,3,1,0,0,0
Fiat's Challenge Is to Improve Performance in Italy and Asia,By DAVID JOLLY; Bill Vlasic contributed reporting from Detroit.,983 words,3 January 2014
1,1,0,0,0,0
12,13,4,3,0,0
Automobiles; SECT,Critics' Picks: Recovery Is Paying Off,295 words,29 December 2013
0,0,0,0,0,0
3,0,1,1,0,0
Wheels That Made the Year Go Round,By JAMES G. COBB,"1,230 words",29 December 2013
0,0,0,0,0,0
16,1,3,4,2,0
G.M. Joint Venture In China To Recall 1.46. Million Cars,By REUTERS,146 words,28 December 2013
0,1,0,0,0,0
1,4,2,0,0,0
G.M. to Invest $1.3 Billion to Upgrade 5 Midwest Factories,By BILL VLASIC,963 words,17 December 2013
0,0,0,0,0,0
14,8,3,6,0,0
